ENTIDAD_FEDERATIVA,Depresion_Sem,Depresion_M,Depresion_F,Parkinson_Sem,Parkinson_M,Parkinson_F,Alzheimer_Sem,Alzheimer_M,Alzheimer_F,ANIO,SEMANA
Tamaulipas,53,102,423.0,5.0,49.0,33.0,1.0,8.0,16.0,2014,13
Tlaxcala -,4,12,1.0,,2.0,,,,,2014,13
Veracruz,102,167,726.0,5.0,30.0,28.0,6.0,5.0,17.0,2014,13
Yucatán,25,54,246.0,2.0,22.0,14.0,,6.0,7.0,2014,13
Zacatecas,17,42,156.0,,3.0,2.0,,,1.0,2014,13
TOTAL,1326,2929,10228.0,100.0,673.0,658.0,40.0,159.0,269.0,2014,13
Aguascalientes,17,10,38.0,,,2.0,,,1.0,2014,14
Baja California,61,121,473.0,7.0,32.0,38.0,2.0,10.0,20.0,2014,14
Baja California Sur,20,27,81.0,1.0,5.0,5.0,,,4.0,2014,14
Campeche,21,44,139.0,1.0,6.0,9.0,1.0,6.0,4.0,2014,14
Coahuila,45,91,308.0,7.0,39.0,38.0,1.0,3.0,14.0,2014,14
Colima,28,58,172.0,2.0,13.0,24.0,,,3.0,2014,14
Chiapas,20,35,171.0,4.0,18.0,14.0,,4.0,8.0,2014,14
Chihuahua,75,132,562.0,6.0,42.0,50.0,5.0,7.0,17.0,2014,14
Distrito Federal,321,824,2111.0,8.0,34.0,84.0,2.0,11.0,13.0,2014,14
Durango,60,75,243.0,,6.0,6.0,,2.0,3.0,2014,14
Guanajuato,28,20,91.0,1.0,5.0,7.0,,,2.0,2014,14
Guerrero,5,36,116.0,2.0,20.0,11.0,,4.0,5.0,2014,14
Hidalgo,35,53,219.0,11.0,23.0,27.0,1.0,2.0,4.0,2014,14
Jalisco,54,102,392.0,7.0,7.0,16.0,,3.0,3.0,2014,14
México,101,280,1074.0,9.0,88.0,69.0,5.0,22.0,20.0,2014,14
Michoacán,45,97,386.0,9.0,47.0,32.0,4.0,14.0,11.0,2014,14
Morelos,43,105,372.0,3.0,31.0,14.0,,3.0,8.0,2014,14
Nayarit,23,63,233.0,4.0,15.0,9.0,2.0,4.0,9.0,2014,14
Nuevo León,74,163,537.0,12.0,39.0,54.0,3.0,18.0,27.0,2014,14
Oaxaca,22,71,241.0,4.0,18.0,18.0,1.0,5.0,6.0,2014,14
Puebla,19,26,127.0,3.0,16.0,6.0,,1.0,,2014,14
Querétaro,1,26,54.0,,2.0,2.0,1.0,1.0,,2014,14
Quintana Roo,21,31,128.0,1.0,11.0,13.0,,1.0,9.0,2014,14
San Luis Potosí,23,78,343.0,1.0,6.0,2.0,,4.0,2.0,2014,14
Sinaloa,64,78,416.0,12.0,51.0,64.0,5.0,14.0,26.0,2014,14
Sonora,52,104,427.0,2.0,29.0,25.0,3.0,19.0,20.0,2014,14
Tabasco,17,77,239.0,1.0,17.0,7.0,,1.0,6.0,2014,14
Tamaulipas,70,120,475.0,8.0,52.0,38.0,2.0,8.0,18.0,2014,14
Tlaxcala,5,7,14.0,2.0,1.0,3.0,,,,2014,14
Veracruz,70,183,780.0,3.0,31.0,30.0,15.0,8.0,29.0,2014,14
Yucatán,23,61,262.0,2.0,24.0,14.0,3.0,9.0,7.0,2014,14
Zacatecas,18,45,171.0,,3.0,2.0,,,1.0,2014,14
TOTAL,1481,3243,11395.0,133.0,731.0,733.0,56.0,184.0,300.0,2014,14
Aguascalientes,12,15,45.0,,,2.0,,,1.0,2014,15
Baja California,6,123,477.0,1.0,32.0,39.0,,10.0,20.0,2014,15
Baja California Sur,15,30,93.0,1.0,6.0,5.0,,,4.0,2014,15
Campeche,20,49,154.0,,6.0,9.0,1.0,7.0,4.0,2014,15
Coahuila,44,103,340.0,9.0,43.0,43.0,1.0,4.0,14.0,2014,15
Colima,13,61,182.0,2.0,14.0,25.0,,,3.0,2014,15
Chiapas,20,40,186.0,7.0,21.0,18.0,2.0,5.0,9.0,2014,15
Chihuahua,86,155,625.0,7.0,44.0,55.0,1.0,7.0,18.0,2014,15
Distrito Federal,319,900,2354.0,2.0,35.0,85.0,5.0,12.0,17.0,2014,15
Durango,35,78,275.0,2.0,7.0,7.0,,2.0,3.0,2014,15
